episode,reward
0,-62.19959851081043
1,-205.9142878119199
2,-132.6662248376523
3,-47.3213887962749
4,-71.57845665865408
5,-25.610600622856715
6,-162.03307109601826
7,-26.892502225058863
8,-163.0504292932217
9,-150.939517321341
10,-223.8042468505263
11,-98.42086398585603
12,-155.56810405504714
13,-48.58593239640023
14,-99.43710958254606
15,-132.29527511330156
16,42.085367036753404
17,-85.71144976616168
18,-71.98384770633021
19,-96.19503952558871
20,-138.96254680321056
21,-2.2556203727979742
22,-157.55879685137046
23,-145.9563505353818
24,-25.30371958446689
25,-154.6231214745743
26,-171.07773287865635
27,32.04239920813511
28,-102.71751873777602
29,6.099091593708335
30,-162.98931130813043
31,-62.8051714893233
32,-109.74193092409038
33,39.9950503808062
34,47.67826251330685
35,32.85615658768752
36,-112.57711492715279
37,-94.74265476877855
38,-158.92069131661918
39,-135.08973484966307
40,-87.9478684732018
41,-64.32900249369898
42,-137.3008226771947
43,9.580195382814205
44,-125.91989785966692
45,-130.64326702504965
46,-135.08925550240974
47,-106.75582033516854
48,-93.00470911777315
49,-50.780989970129795
50,43.19999741482748
51,-126.2597741634057
52,-121.85512835325423
53,-177.82972152512613
54,-167.16565170196978
55,-146.31298603865315
56,-4.252714147810309
57,-158.2686494639615
58,-106.59867571239168
59,-176.69822240039423
60,-200.7712707513821
61,-187.91885926829474
62,-155.5273671567361
63,-148.36506169811653
64,-79.04388660790026
65,-60.78670299479887
66,-26.999220213161834
67,-66.45007572548248
68,-60.707210647337035
69,-70.1630864070455
70,-82.42734311015585
71,-81.31913995960572
72,-23.148503865304747
73,-108.51630516878033
74,-95.19247747926846
75,41.893868224259435
76,-67.73955308830958
77,-26.397562214457146
78,-77.35359095466788
79,-88.2076822924236
80,-11.636388864402207
81,-91.64866018998953
82,-94.48243281309396
83,-135.58292743510876
84,-114.50141598542443
85,-140.22685182802866
86,-85.79102455338081
87,-154.16288742478335
88,-218.55531814771365
89,-225.5007496514739
90,-315.7846475835456
91,-335.20236870553526
92,-325.5437370288339
93,-286.276668502927
94,-315.80345436449045
95,-305.12420272060496
96,-324.52330527490756
97,-294.2265058625254
98,-286.3923084685527
99,-325.05382744878557
100,-274.53825950308044
101,-274.87935754792363
102,-273.89465359357774
103,-263.969513564705
104,-294.4067790930499
105,-304.1734702523072
106,-265.2380361172475
107,-285.0341889287947
108,-244.54350935507313
109,-255.1809159099005
110,-274.58459112209164
111,-214.99014953398586
112,-254.6743194510301
113,-284.1715351795767
114,-274.6390323956874
115,-244.02666018332707
116,-333.2085054283326
117,-253.62611690467182
118,-325.0499043391885
119,-335.68288497413414
120,-334.6919177382785
121,-333.39170696455733
122,-276.28022690725123
123,-4103.526635496448
124,-3597.8139068478154
125,-4619.6723143086865
126,-5939.0668879430705
127,-2075.9251887757387
128,-3035.0048100655695
129,-2423.279667019256
130,-1915.229196982846
131,-2283.5908444916035
132,-1897.742381721761
133,-2893.038639935552
134,-3459.6718434704094
135,-1374.4543138270246
136,-2127.447269884553
137,-1769.0429160762515
138,-3196.83126640497
139,-3166.057503575737
140,-1321.8375119769637
141,-904.408357017105
142,-960.9010775924995
143,-739.4163751516326
144,-1210.2664348891203
145,-2139.5038586960186
146,-1252.801566925908
147,-1520.330033588871
148,-880.896954036718
149,-2715.2108411421855
150,-1798.827592198681
151,-747.4843553829622
152,-927.5886805093812
153,-1006.143102693685
154,-1190.380645374477
155,-1014.4629632401836
156,-917.0155651546081
157,-1290.7458667968547
158,-966.6718142894354
159,-946.2269385963604
160,-887.1146567744022
161,-2621.2997460954443
162,-3048.9125205725572
163,-1069.4978618527844
164,-1039.4594655119872
165,-966.7958846696014
166,-974.7704205658348
